ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,gene_symbols
R-MMU-6809371,Formation of the cornified envelope,36/1105,85/8731,0.423529412,3.34645728,8.274740051,7.04E-12,7.20E-09,6.87E-09,16666/16687/20129/75706/109052/386463/16667/69511/626834/16664/259277/99681/12365/20862/16678/21816/13506/72432/16672/66809/406223/317653/70810/268885/16673/13510/67451/16660/16671/406220/70843/107656/237934/433180/56735/77055,36,"Krt16,Krt6a,Rptn,Krt24,Krt75,Cdsn,Krt17,Klk12,Klk13,Krt14,Klk8,Tchh,Casp14,Stfa2,Krt1,Tgm1,Dsc2,Spink5,Krt34,Krt20,Gm5414,Klk14,Krt25,Stfa2l1,Krt36,Dsg1a,Pkp2,Krt31,Krt33b,Krt77,Krt28,Krt9,Krt39,Spink6,Krt71,Krt76"
R-MMU-6805567,Keratinization,41/1105,162/8731,0.25308642,1.999726272,4.8889253,7.47E-06,0.00381672,0.003644144,16666/16687/20129/75706/109052/386463/16667/69511/626834/16664/259277/99681/12365/20862/16678/21816/13506/72432/16672/69473/66809/406223/317653/70810/66380/268885/16673/16699/13510/268905/67451/16660/16671/406220/70843/107656/435285/237934/433180/56735/77055,41,"Krt16,Krt6a,Rptn,Krt24,Krt75,Cdsn,Krt17,Klk12,Klk13,Krt14,Klk8,Tchh,Casp14,Stfa2,Krt1,Tgm1,Dsc2,Spink5,Krt34,Krtap3-1,Krt20,Gm5414,Klk14,Krt25,Krtap3-3,Stfa2l1,Krt36,Krtap13,Dsg1a,Krtap13-1,Pkp2,Krt31,Krt33b,Krt77,Krt28,Krt9,Krtap4-16,Krt39,Spink6,Krt71,Krt76"
R-MMU-373076,Class A/1 (Rhodopsin-like receptors),64/1105,305/8731,0.209836066,1.657989763,4.45244117,2.26E-05,0.007712515,0.007363788,252837/20293/30044/20308/16995/14063/24047/12775/20297/17203/18430/54140/20311/12273/11556/58861/212541/226304/12773/12426/14744/13616/170458/12672/14763/18166/12061/57385/21334/57349/20310/12669/14825/78134/12774/20303/213788/381489/58182/18389/56838/330122/13614/16963/12425/15558/17200/50501/13491/12458/243764/19064/574402/14289/11549/56066/18155/24111/15551/15560/280287/239336/70086/19217,64,"Ackr4,Ccl12,Opn4,Ccl9,Ltb4r1,F2rl1,Ccl19,Ccr7,Ccl20,Mc5r,Oxtr,Avpr1a,Cxcl5,C5ar1,Adrb3,Cysltr1,Rho,Npbwr1,Ccr4,Cckbr,Gpr65,Edn3,Gpha2,Chrm4,Gpr37,Npy1r,Bdkrb1,P2ry4,Tac2,Ppbp,Cxcl2,Chrm1,Cxcl1,Lpar4,Ccr5,Ccl4,Chrm5,Rxfp1,Prokr1,Oprl1,Ccl28,Cxcl3,Edn1,Xcl1,Cckar,Htr2a,Mc2r,Prok2,Drd4,Ccr6,Chrm2,Ppy,Gpr17,Fpr2,Adra1a,Cxcl11,Pnoc,Uts2,Htr1b,Htr2c,Kiss1,Rxfp3,Cysltr2,Ptger2"
R-MMU-375276,Peptide ligand-binding receptors,43/1105,185/8731,0.232432432,1.836531735,4.377505513,4.31E-05,0.011008369,0.010510617,252837/20293/20308/14063/24047/12775/20297/17203/18430/54140/20311/12273/226304/12773/12426/13616/14763/18166/12061/21334/57349/20310/14825/12774/20303/381489/58182/18389/56838/330122/13614/16963/12425/17200/50501/12458/19064/14289/56066/18155/24111/280287/239336,43,"Ackr4,Ccl12,Ccl9,F2rl1,Ccl19,Ccr7,Ccl20,Mc5r,Oxtr,Avpr1a,Cxcl5,C5ar1,Npbwr1,Ccr4,Cckbr,Edn3,Gpr37,Npy1r,Bdkrb1,Tac2,Ppbp,Cxcl2,Cxcl1,Ccr5,Ccl4,Rxfp1,Prokr1,Oprl1,Ccl28,Cxcl3,Edn1,Xcl1,Cckar,Mc2r,Prok2,Ccr6,Ppy,Fpr2,Cxcl11,Pnoc,Uts2,Kiss1,Rxfp3"
R-MMU-500792,GPCR ligand binding,76/1105,392/8731,0.193877551,1.531895835,4.101592372,7.05E-05,0.01289182,0.012308906,14697/252837/20293/30044/20308/16995/14063/24047/54393/12775/20297/268934/17203/18430/223780/54140/22354/20311/14706/171530/12273/11556/20287/58861/212541/22355/226304/12773/12426/14744/13616/170458/12672/14763/18166/12061/57385/21334/57349/20310/12669/14825/78134/12774/20303/213788/381489/58182/18389/56838/330122/13614/16963/12425/15558/17200/50501/13491/12458/243764/108072/19064/574402/213527/242425/14289/11549/56066/18155/24111/15551/15560/280287/239336/70086/19217,76,"Gnb5,Ackr4,Ccl12,Opn4,Ccl9,Ltb4r1,F2rl1,Ccl19,Gabbr1,Ccr7,Ccl20,Grm4,Mc5r,Oxtr,Adm2,Avpr1a,Vipr1,Cxcl5,Gng4,Ucn2,C5ar1,Adrb3,Sct,Cysltr1,Rho,Vipr2,Npbwr1,Ccr4,Cckbr,Gpr65,Edn3,Gpha2,Chrm4,Gpr37,Npy1r,Bdkrb1,P2ry4,Tac2,Ppbp,Cxcl2,Chrm1,Cxcl1,Lpar4,Ccr5,Ccl4,Chrm5,Rxfp1,Prokr1,Oprl1,Ccl28,Cxcl3,Edn1,Xcl1,Cckar,Htr2a,Mc2r,Prok2,Drd4,Ccr6,Chrm2,Grm6,Ppy,Gpr17,Pth2r,Gabbr2,Fpr2,Adra1a,Cxcl11,Pnoc,Uts2,Htr1b,Htr2c,Kiss1,Rxfp3,Cysltr2,Ptger2"
R-MMU-190872,Transport of connexons to the plasma membrane,9/1105,17/8731,0.529411765,4.1830716,5.000367813,7.57E-05,0.01289182,0.012308906,14619/22152/73710/22146/53857/22151/22145/67951/238463,9,"Gjb2,Tubb3,Tubb2b,Tuba1c,Tuba8,Tubb2a,Tuba4a,Tubb6,Tubal3"
R-MMU-6791312,TP53 Regulates Transcription of Cell Cycle Genes,13/1105,34/8731,0.382352941,3.021107266,4.49452652,0.000141422,0.020647609,0.019714011,52679/55948/12534/18148/20878/20620/13197/268697/12428/108961/12227/12447/12532,13,"E2f7,Sfn,Cdk1,Npm1,Aurka,Plk2,Gadd45a,Ccnb1,Ccna2,E2f8,Btg2,Ccne1,Cdc25c"
R-MMU-380108,Chemokine receptors bind chemokines,17/1105,53/8731,0.320754717,2.534397678,4.264871052,0.000179271,0.022901866,0.021866341,252837/20293/24047/12775/20297/20311/12773/57349/20310/14825/12774/20303/56838/330122/16963/12458/56066,17,"Ackr4,Ccl12,Ccl19,Ccr7,Ccl20,Cxcl5,Ccr4,Ppbp,Cxcl2,Cxcl1,Ccr5,Ccl4,Ccl28,Cxcl3,Xcl1,Ccr6,Cxcl11"
R-MMU-190861,Gap junction assembly,12/1105,31/8731,0.387096774,3.058589987,4.370498112,0.000222319,0.025245567,0.024104069,14619/14623/22152/73710/22146/53857/22151/22145/67951/14618/14613/238463,12,"Gjb2,Gjb6,Tubb3,Tubb2b,Tuba1c,Tuba8,Tubb2a,Tuba4a,Tubb6,Gjb1,Gja5,Tubal3"
R-MMU-190840,Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane,8/1105,16/8731,0.5,3.950678733,4.496639618,0.000322715,0.032981497,0.031490213,22152/73710/22146/53857/22151/22145/67951/238463,8,"Tubb3,Tubb2b,Tuba1c,Tuba8,Tubb2a,Tuba4a,Tubb6,Tubal3"
