"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","gene_symbols"
"R-MMU-198933","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell","44/1104","94/8731",0.468085106382979,3.70185784767191,10.0198160415569,3.31845479617271e-16,3.03638613849803e-13,2.77352958753803e-13,"16414/12502/30925/14991/21939/68713/66141/20343/14130/20612/27007/83382/22177/16408/21947/12501/12500/217303/15015/54215/233186/58217/140497/217306/270152/224840/12526/379043/12525/52855/15039/246256/15018/12010/14972/217304/23900/15040/15007/328833/110557/15006/271375/15013",44,"Itgb2,Cd3g,Slamf6,H2-M3,Cd40,Ifitm1,Ifitm3,Sell,Fcgr2b,Siglec1,Klrk1,Siglece,Tyrobp,Itgal,Cd40lg,Cd3e,Cd3d,Cd300a,H2-Q4,Cd160,Siglecf,Trem1,Cd300c2,Cd300e,Jaml,Treml4,Cd8b1,Raet1e,Cd8a,Lair1,H2-T22,Fcgr4,H2-Q7,B2m,H2-K1,Cd300lb,Hcst,H2-T23,H2-Q10,Treml2,H2-Q6,H2-Q1,Cd200r2,H2-Q2"
"R-MMU-397014","Muscle contraction","58/1104","152/8731",0.381578947368421,3.01772263539283,9.54728114002348,7.44576745540741e-16,3.40643861084889e-13,3.11154703136499e-13,"108017/53419/59310/50874/11474/98660/27222/12372/21393/56808/17906/21925/76757/17898/54377/12295/17883/74571/12322/17996/54195/21916/230103/18125/20928/20190/17907/11937/21953/320707/11459/50876/22003/72258/60596/56188/57780/223604/18821/233199/17888/232975/13405/16493/11472/17885/104158/20192/11468/17897/21957/17901/21955/11464/54378/110893/66240/16514",58,"Fxyd4,Corin,Myl10,Tmod4,Actn3,Atp1a2,Atp1a4,Casq1,Tcap,Cacna2d2,Myl2,Tnnc2,Trdn,Myl7,Cacng4,Cacnb1,Myh3,Kcnk16,Camk2a,Neb,Gucy1b1,Tmod1,Npr2,Nos1,Abcc9,Ryr1,Mylpf,Atp2a1,Tnni2,Atp2b3,Acta1,Tmod2,Tpm1,Kcnk10,Gucy1a1,Fxyd1,Fxyd7,Kcnk9,Pln,Mybpc2,Myh6,Atp1a3,Dmd,Kcna5,Actn2,Myh8,Ces1d,Ryr3,Actg2,Myl3,Tnnt3,Myl1,Tnnt1,Actc1,Cacng6,Slc8a3,Kcne5,Kcnj11"
"R-MMU-390522","Striated Muscle Contraction","22/1104","32/8731",0.6875,5.43710371376812,9.56653553894881,2.64576430268999e-13,8.06958112320446e-11,7.37100651345912e-11,"50874/11474/21393/17906/21925/17883/17996/21916/21953/11459/50876/22003/233199/17888/13405/11472/17885/17897/21957/17901/21955/11464",22,"Tmod4,Actn3,Tcap,Myl2,Tnnc2,Myh3,Neb,Tmod1,Tnni2,Acta1,Tmod2,Tpm1,Mybpc2,Myh6,Dmd,Actn2,Myh8,Myl3,Tnnt3,Myl1,Tnnt1,Actc1"
"R-MMU-380108","Chemokine receptors bind chemokines","27/1104","53/8731",0.509433962264151,4.02886587366694,8.4143958502819,1.53042066290216e-11,3.5008372663887e-09,3.1977737009061e-09,"20302/20303/20290/55985/20297/12765/16963/20311/330122/14825/17329/12769/20295/15945/20304/20293/12771/12775/12776/54199/12767/12145/227288/12766/20310/24047/12774",27,"Ccl3,Ccl4,Ccl1,Cxcl13,Ccl20,Cxcr2,Xcl1,Cxcl5,Cxcl3,Cxcl1,Cxcl9,Ccr9,Ccl17,Cxcl10,Ccl5,Ccl12,Ccr3,Ccr7,Ccr8,Ccrl2,Cxcr4,Cxcr5,Cxcr1,Cxcr3,Cxcl2,Ccl19,Ccr5"
"R-MMU-375276","Peptide ligand-binding receptors","53/1104","185/8731",0.286486486486487,2.26568253035644,6.61978662498563,3.73920800844605e-09,6.84275065545627e-07,6.25038138674982e-07,"20302/217212/19064/20305/20303/20308/67405/18217/20290/55985/225642/14419/20297/12765/16963/13616/18389/56183/20311/330122/14825/17329/12769/50501/12426/14829/20295/12424/381489/15945/20304/20293/12771/11998/12775/12267/12776/227717/54199/212108/12767/14293/12145/19065/227288/18430/58182/12766/14289/20310/24047/319430/12774",53,"Ccl3,Pyy,Ppy,Ccl6,Ccl4,Ccl9,Nts,Ntsr2,Ccl1,Cxcl13,Grp,Gal,Ccl20,Cxcr2,Xcl1,Edn3,Oprl1,Nmu,Cxcl5,Cxcl3,Cxcl1,Cxcl9,Ccr9,Prok2,Cckbr,Grpr,Ccl17,Cck,Rxfp1,Cxcl10,Ccl5,Ccl12,Ccr3,Avp,Ccr7,C3ar1,Ccr8,Qrfp,Ccrl2,Rln3,Cxcr4,Fpr1,Cxcr5,Npy4r,Cxcr1,Oxtr,Prokr1,Cxcr3,Fpr2,Cxcl2,Ccl19,C5ar2,Ccr5"
"R-MMU-2172127","DAP12 interactions","25/1104","57/8731",0.43859649122807,3.46864670734808,7.11379663980499,4.79066063670387e-09,7.30575747097341e-07,6.67330622025066e-07,"16818/16822/14991/20963/27007/16643/16641/22177/16797/58179/15015/58217/217306/16642/15039/15018/12010/14972/217304/15040/15007/110557/381484/15006/15013",25,"Lck,Lcp2,H2-M3,Syk,Klrk1,Klrd1,Klrc1,Tyrobp,Lat,Klrc3,H2-Q4,Trem1,Cd300e,Klrc2,H2-T22,H2-Q7,B2m,H2-K1,Cd300lb,H2-T23,H2-Q10,H2-Q6,Gm5150,H2-Q1,H2-Q2"
"R-MMU-1474244","Extracellular matrix organization","65/1104","263/8731",0.247148288973384,1.95457582520527,5.98015811025747,4.28602584119939e-08,5.60244806385349e-06,5.11745040287567e-06,"13497/16414/21857/20391/12032/12505/17394/240913/73368/64706/22370/22288/12818/240047/246707/13527/12815/24087/58223/11501/12836/12839/241226/14161/21923/20750/15891/13406/50530/16651/23993/16408/94216/12830/11459/269132/81877/24053/14563/170725/13040/268935/108075/76293/83995/330119/245026/13405/17384/17381/17386/280635/67374/72902/77018/11468/16619/16612/12829/12338/11464/69700/12335/12828/16621",65,"Drp2,Itgb2,Timp1,Sgca,Bcan,Cd44,Mmp8,Adamts4,Col20a1,Scube1,Vtn,Utrn,Col14a1,Mmp25,Emilin2,Dtna,Col11a2,Tll2,Mmp19,Adam8,Col7a1,Col9a1,Itga8,Fga,Tnc,Spp1,Ibsp,Dmp1,Mfap5,Sspn,Klk7,Itgal,Col4a6,Col4a5,Acta1,Colgalt2,Tnxb,Sgcg,Gdf5,Capn8,Ctss,Scube3,Ltbp4,Mfap4,Mmp1a,Adamts3,Col6a6,Dmd,Mmp10,Mmp12,Mmp13,Emilin3,Jam2,Spock3,Col25a1,Actg2,Klk1b27,Klk1,Col4a4,Capn6,Actc1,Col22a1,Capn3,Col4a3,Klkb1"
"R-MMU-500792","GPCR ligand binding","87/1104","392/8731",0.221938775510204,1.75520602262644,5.82058018720769,5.3150463999441e-08,6.07908431993606e-06,5.55282479152054e-06,"108072/20302/12922/22355/217212/19064/20305/20303/20308/14816/67405/18217/20290/22095/56696/13488/30044/14744/55985/225642/15566/14419/213527/20297/12765/319229/16963/13616/18389/20132/83770/56183/20311/330122/14825/17329/12769/50501/12426/14829/20295/14697/22354/12424/70086/381489/15945/20304/20293/12771/216152/140795/11998/12775/20287/12267/12776/11539/227717/54199/83428/212108/11553/12767/14293/12145/387353/19065/227288/18430/58182/15551/227326/171530/12766/110168/78826/14289/223780/387512/19204/20310/268934/14709/24047/319430/12774",87,"Grm6,Ccl3,Crhr2,Vipr2,Pyy,Ppy,Ccl6,Ccl4,Ccl9,Grm1,Nts,Ntsr2,Ccl1,Tshr,Gpr132,Drd1,Opn4,Gpr65,Cxcl13,Grp,Htr7,Gal,Pth2r,Ccl20,Cxcr2,Sctr,Xcl1,Edn3,Oprl1,Rrh,Tas1r2,Nmu,Cxcl5,Cxcl3,Cxcl1,Cxcl9,Ccr9,Prok2,Cckbr,Grpr,Ccl17,Gnb5,Vipr1,Cck,Cysltr2,Rxfp1,Cxcl10,Ccl5,Ccl12,Ccr3,Plppr3,P2ry14,Avp,Ccr7,Sct,C3ar1,Ccr8,Adora1,Qrfp,Ccrl2,Ucn3,Rln3,Adra2c,Cxcr4,Fpr1,Cxcr5,Tas2r126,Npy4r,Cxcr1,Oxtr,Prokr1,Htr1b,Gpr55,Ucn2,Cxcr3,Gpr18,P2ry10,Fpr2,Adm2,Tas2r135,Ptafr,Cxcl2,Grm4,Gng8,Ccl19,C5ar2,Ccr5"
"R-MMU-373076","Class A/1 (Rhodopsin-like receptors)","70/1104","305/8731",0.229508196721311,1.81506889997624,5.51249616081006,2.94834767715318e-07,2.99748680510574e-05,2.73799772591769e-05,"20302/217212/19064/20305/20303/20308/67405/18217/20290/22095/56696/13488/30044/14744/55985/225642/15566/14419/20297/12765/16963/13616/18389/20132/56183/20311/330122/14825/17329/12769/50501/12426/14829/20295/12424/70086/381489/15945/20304/20293/12771/216152/140795/11998/12775/12267/12776/11539/227717/54199/212108/11553/12767/14293/12145/19065/227288/18430/58182/15551/227326/12766/110168/78826/14289/19204/20310/24047/319430/12774",70,"Ccl3,Pyy,Ppy,Ccl6,Ccl4,Ccl9,Nts,Ntsr2,Ccl1,Tshr,Gpr132,Drd1,Opn4,Gpr65,Cxcl13,Grp,Htr7,Gal,Ccl20,Cxcr2,Xcl1,Edn3,Oprl1,Rrh,Nmu,Cxcl5,Cxcl3,Cxcl1,Cxcl9,Ccr9,Prok2,Cckbr,Grpr,Ccl17,Cck,Cysltr2,Rxfp1,Cxcl10,Ccl5,Ccl12,Ccr3,Plppr3,P2ry14,Avp,Ccr7,C3ar1,Ccr8,Adora1,Qrfp,Ccrl2,Rln3,Adra2c,Cxcr4,Fpr1,Cxcr5,Npy4r,Cxcr1,Oxtr,Prokr1,Htr1b,Gpr55,Cxcr3,Gpr18,P2ry10,Fpr2,Ptafr,Cxcl2,Ccl19,C5ar2,Ccr5"
"R-MMU-112316","Neuronal System","70/1104","320/8731",0.21875,1.72998754528985,5.06152525887243,1.94737531678986e-06,0.000171412521932511,0.00015657353168181,"14395/140493/53623/12287/11515/14401/56808/14394/11448/12298/14816/14406/14799/54377/14813/12295/15165/67498/58234/14409/74571/20112/12322/20510/236915/11447/11435/11438/226922/14397/67111/14412/14812/16523/20928/243616/232333/14396/234214/55991/110637/14697/72258/207777/12286/108015/380728/20979/223604/16494/16495/242443/20927/16490/16493/245446/272381/16485/16500/16517/11472/140492/406218/16502/18213/74342/16531/14709/14415/16514",70,"Gabra2,Kcnn3,Gria3,Cacna1b,Adcy9,Gabrb2,Cacna2d2,Gabra1,Chrne,Cacnb4,Grm1,Gabrg2,Gria1,Cacng4,Grin2c,Cacnb1,Hcn1,Kcnv1,Shank3,Gabrr2,Kcnk16,Rps6ka2,Camk2a,Slc1a1,Arhgef9,Chrnd,Chrna1,Chrna4,Kcnq5,Gabra4,Naaa,Slc6a13,Grin2b,Kcnj8,Abcc9,Slc6a11,Slc6a1,Gabra3,Sorbs2,Panx1,Grik4,Gnb5,Kcnk10,Tspoap1,Cacna1a,Chrnb4,Kcnh4,Syt1,Kcnk9,Kcna6,Kcna7,Grin3a,Abcc8,Kcna2,Kcna5,Slitrk4,Lrrc4b,Kcna1,Kcnb1,Kcnj16,Actn2,Kcnn2,Panx2,Kcnc1,Ntrk3,Lrrtm1,Kcnma1,Gng8,Gad1,Kcnj11"
